key,value,file
concept,concept_type,ddf--concepts.csv
concept,map_file,ddf--concepts.csv
concept,map_object,ddf--concepts.csv
concept,map_type,ddf--concepts.csv
concept,name,ddf--concepts.csv
"municipality,year",life_expectancy,ddf--datapoints--life_expectancy--by--municipality--year.csv
"municipality,year",median_income,ddf--datapoints--median_income--by--municipality--year.csv
"municipality,year",middle_income,ddf--datapoints--middle_income--by--municipality--year.csv
"municipality,year",population,ddf--datapoints--population--by--municipality--year.csv
municipality,name,ddf--entities--municipality.csv
municipality,county,ddf--entities--municipality.csv
municipality,is--municipality,ddf--entities--municipality.csv
